RAJ2000,DEJ2000,zph,zsp,LBr,LBi,LTr,LTi,Ngal,NR200
184.1893,45.23618,0.254,0.25661,9.29,11.58,74.3,92.9,37,49
144.20819,10.47347,0.281,0.26971,10.58,13.33,49,61.4,26,27
158.17853,28.89857,0.257,8.94,11.55,44.6,56.7,25,28,
236.90287,33.31608,0.122,0.11431,9.39,11.82,56.8,70.8,34,46
201.08197,4.31863,0.257,0.26307,10.21,12.82,88.4,109.1,37,54
140.84936,8.67698,0.135,0.13008,9.72,11.99,94.2,116.7,48,58
194.54415,65.60874,0.238,13.1,16.11,38.7,47.6,22,22,
135.2921,62.62213,0.108,9.55,12.06,54.8,68.4,29,31,
220.58079,22.30327,0.105,8.3,10.59,45.4,57.1,27,30,
144.85745,40.75748,0.238,12.77,16,72.7,90.6,33,39,
180.69536,33.66521,0.284,11.11,13.51,49.1,59.5,26,26,
243.18804,8.00721,0.292,10.07,12.76,32.1,40.1,20,20,
185.61027,-1.45325,0.292,11.39,14.39,84,103.9,30,38,
198.24174,46.25841,0.186,0.17971,9.47,12.25,58.4,73.1,30,32
174.68644,10.47368,0.251,0.25766,11.82,14.51,49.1,59.9,28,30
173.26241,39.78128,0.289,14.9,18.2,57.4,71.6,25,30,
120.64551,36.35025,0.275,0.29449,15.18,19.04,56.1,70.1,26,31
219.30022,20.74833,0.246,11.99,14.68,60.6,74.2,26,30,
222.77965,12.58463,0.278,14.87,18.21,54.2,66.7,25,26,
180.33075,48.51018,0.278,9.47,12,35.7,44.9,23,24,
232.36996,18.98639,0.227,15.54,19.02,41.9,51.9,23,23,
348.40917,14.83763,0.178,0.1631,10.34,13.09,57.1,71.5,31,34
249.50363,37.88328,0.165,8.89,11.06,69,85.8,40,50,
217.22534,-2.15375,0.267,0.26672,8.35,10.32,44.4,54,28,29
201.56601,48.87476,0.281,0.28005,8.64,10.63,58.2,72.9,28,30
205.97409,32.72646,0.281,8.94,11.18,35.6,44.4,23,23,
253.06079,44.82329,0.176,8.36,10.35,94.9,117.6,52,69,
167.51515,34.54507,0.243,9.67,12.27,39.3,49.3,25,26,
178.43747,15.35634,0.111,8.72,11.06,47,59.2,33,37,
125.33861,25.31751,0.259,0.26755,6.28,8.16,73.1,92.1,44,55
